Serial_No,timestamp,sensor_00,sensor_01,sensor_02,sensor_03,Level_sensor,sensor_05,sensor_06,sensor_07,sensor_08
0,4/1/2018 0:00,2.465394,47.09201,53.2118,46.31076,634.375,76.45975,13.41146,16.13136,15.56713
1,4/1/2018 0:01,2.465394,47.09201,53.2118,46.31076,634.375,76.45975,13.41146,16.13136,15.56713
2,4/1/2018 0:02,2.444734,47.35243,53.2118,46.39757,638.8889,73.54598,13.32465,16.03733,15.61777
3,4/1/2018 0:03,2.460474,47.09201,53.1684,46.39756775,628.125,76.98898,13.31742,16.24711,15.69734
4,4/1/2018 0:04,2.445718,47.13541,53.2118,46.39756775,636.4583,76.58897,13.35359,16.21094,15.69734
5,4/1/2018 0:05,2.453588,47.09201,53.1684,46.39756775,637.6157,78.18568,13.41146,16.16753,15.89265
6,4/1/2018 0:06,2.455556,47.04861,53.16839981,46.39756775,633.3333,75.81614,13.43316,16.13136,15.65393
7,4/1/2018 0:07,2.449653,47.13541,53.16839981,46.39756775,630.6713,75.77331,13.25231,16.12413,16.19647
8,4/1/2018 0:08,2.463426,47.09201,53.16839981,46.39756775,631.9444,74.58916,13.28848,16.13136,15.47309
9,4/1/2018 0:09,2.445718,47.17882,53.1684,46.39756775,641.7823,74.57428,13.38252,16.24711,15.61777
10,4/1/2018 0:10,2.46441,47.48264,53.125,46.39756775,637.7314,76.05148,13.41146,16.16753,15.65393
11,4/1/2018 0:11,2.444734,47.91666,53.1684,46.39756775,635.6482,74.58654,13.41146,16.16753,15.84925
12,4/1/2018 0:12,2.460474,48.26389,53.125,46.39756775,630.0926,76.95988,13.34635,16.16753,15.73351
13,4/1/2018 0:13,2.448669,48.4375,53.1684,46.39756775,638.6574,75.6731,13.31742,16.16753,15.84925
14,4/1/2018 0:14,2.453588,48.56771,53.1684,46.39756775,632.4074,80.65949,13.38976,16.13136,15.53096
15,4/1/2018 0:15,2.455556,48.3941,53.125,46.39757,642.3611,78.13193,13.35359,16.21094,15.45139
16,4/1/2018 0:16,2.449653,48.3941,53.1684,46.31076,630.2084,77.89381,13.30295,16.16753,15.89265
17,4/1/2018 0:17,2.463426,48.4809,53.68924,46.3107605,643.6343,77.30572,13.34635,16.16753,15.61777
18,4/1/2018 0:18,2.445718,48.61111,53.125,46.3107605,632.9861,76.66199,13.34635,16.21094,15.81308
19,4/1/2018 0:19,2.46441,48.61111,53.1684,46.3107605,644.3287,78.49116,13.34635,16.13136,15.70457
20,4/1/2018 0:20,2.445718,49.08854,53.03819,46.3107605,633.4491,76.95741,13.34635,16.16753,15.76968
21,4/1/2018 0:21,2.460474,49.21875,53.125,46.31076,626.2731,78.76208,13.34635,16.16753,15.45139
22,4/1/2018 0:22,2.448669,48.78472,53.125,46.26736,635.4166,76.26164,13.41146,16.21094,15.65393
23,4/1/2018 0:23,2.453588,49.08854,53.1684,46.26736069,635.4166,79.25443,13.34635,16.21094,15.81308
24,4/1/2018 0:24,2.453588,49.21875,53.03819,46.26736069,634.375,76.8876,13.31742,16.12413,15.77691
25,4/1/2018 0:25,2.449653,49.30555,53.1684,46.26736069,634.9537,75.76706,13.34635,16.1603,15.69734
26,4/1/2018 0:26,2.459491,49.08854,53.1684,46.26736069,632.4074,75.63688,13.28848,16.12413,15.76968
27,4/1/2018 0:27,2.448669,48.78472,53.125,46.26736069,639.2361,75.62278,13.49826,16.13136,15.69734
28,4/1/2018 0:28,2.46441,48.35069,53.1684,46.26736,641.3195,75.83797,13.41869,16.1603,15.65393
29,4/1/2018 0:29,2.444734,48.04688,53.125,46.22396,635.4166,73.64476,13.28848,16.21094,16.31944
30,4/1/2018 0:30,2.463426,47.91666,53.12499619,46.22395706,618.75,75.64877,13.23061,16.12413,15.76968
31,4/1/2018 0:31,2.448669,47.78646,53.125,46.22395706,650.463,74.983,13.23061,16.1603,15.84925
32,4/1/2018 0:32,2.453588,48.61111,53.03819,46.22395706,631.5972,73.89424,13.44763,16.16753,15.65393
33,4/1/2018 0:33,2.455556,48.4375,53.125,46.22395706,643.8657,71.37542,13.34635,16.16753,15.73351
34,4/1/2018 0:34,2.449653,49.08854,53.12499619,46.22395706,631.1342,72.02344,13.31742,16.13136,15.65393
35,4/1/2018 0:35,2.460474,48.78472,53.12499619,46.22395706,628.2407,72.02461,13.38252,16.13136,15.73351
36,4/1/2018 0:36,2.460474,48.78472,53.125,46.22396,628.2407,72.02461,13.38252,16.13136,15.73351
37,4/1/2018 0:37,2.46441,48.69791,53.03819,46.18055,632.9861,73.75979,13.34635,16.12413,15.82031
38,4/1/2018 0:38,2.448669,48.65451,53.125,46.18055344,633.2176,71.75475,13.28848,16.12413,15.76968
39,4/1/2018 0:39,2.459491,48.82813,53.12499619,46.18055344,632.1759,73.06738,13.43316,16.21094,15.73351
40,4/1/2018 0:40,2.449653,49.26215,53.12499619,46.18055344,637.963,71.20819,13.34635,16.13136,15.65393
41,4/1/2018 0:41,2.453588,49.26215,53.12499619,46.18055,637.963,73.73936,13.25231,16.16753,15.37182
42,4/1/2018 0:42,2.453588,49.04514,53.12499619,46.09375,640.5093,72.83128,13.32465,16.13136,15.76968
43,4/1/2018 0:43,2.448669,49.08854,53.12499619,46.09375,635.0695,73.57409,13.34635,16.0735,15.37182
44,4/1/2018 0:44,2.460474,48.87152,53.125,46.09375,633.7963,73.37788,13.31742,16.13136,15.65393
45,4/1/2018 0:45,2.448669,49.08854,53.03819,46.09375,638.7732,73.93829,13.38252,16.21094,15.65393
46,4/1/2018 0:46,2.466377,49.13194,53.125,46.09375,630.3241,74.724,13.28848,16.0735,15.82031
47,4/1/2018 0:47,2.446702,49.13194,53.03819,46.05035,635.9954,74.23515,13.25231,16.16753,15.49479
48,4/1/2018 0:48,2.460474,49.26215,53.125,46.05034637,628.2407,77.19415,13.28848,16.16753,15.69734
49,4/1/2018 0:49,2.445718,49.04514,53.12499619,46.05034637,623.3796,78.18562,13.38252,16.16753,15.37182
50,4/1/2018 0:50,2.456539,49.43576,53.12499619,46.05034637,630.4398,81.35645,13.31742,16.21094,15.73351
51,4/1/2018 0:51,2.453588,49.34896,53.12499619,46.05034637,627.3148,78.20947,13.31742,16.16753,15.53096
52,4/1/2018 0:52,2.45162,49.26215,53.12499619,46.05034637,641.8981,78.60271,13.41146,16.24711,15.98669
53,4/1/2018 0:53,2.459491,49.30555,53.125,46.05034637,622.1064,77.45465,13.41146,16.21094,15.69734
54,4/1/2018 0:54,2.448669,49.30555,53.03819,46.05035,633.449,77.40409,13.28848,16.12413,15.90712
55,4/1/2018 0:55,2.46441,49.26215,53.125,46.00694,625.8102,77.41991,13.32465,16.2037,15.69734
56,4/1/2018 0:56,2.445718,49.26215,53.125,46.00694275,632.4074,75.76465,13.56337,16.2037,15.65393
57,4/1/2018 0:57,2.460474,49.43576,53.1684,46.00694275,634.1464,77.28145,13.62847,16.21094,15.76968
58,4/1/2018 0:58,2.445718,49.21875,53.125,46.00694275,628.125,74.89201,13.53443,16.16753,15.56713
59,4/1/2018 0:59,2.456539,49.30555,53.1684,46.00694275,634.9537,76.20724,13.67911,16.16753,15.61777
60,4/1/2018 1:00,2.453588,49.08854,53.12499619,46.00694275,626.6204,73.981,13.49826,16.16753,15.65393
61,4/1/2018 1:01,2.453588,49.08854,53.12499619,46.00694275,626.6204,73.981,13.49826,16.16753,15.65393
62,4/1/2018 1:02,2.459491,49.04514,53.125,46.00694,626.6204,73.80122,13.5923,16.16753,15.69734
63,4/1/2018 1:03,2.445718,48.4809,53.03819,45.96354,635.5323,73.21678,13.5923,16.06626,15.81308
64,4/1/2018 1:04,2.46441,47.78646,53.125,45.96353912,644.4445,73.02496,13.56337,16.16753,15.89265
